id,date_start,latitude,longitude,best
199536,1993-07-01,43.865556,18.043333,0
200037,1993-07-01,43.666944,18.976389,4
199393,1993-07-15,44.816944,15.870833,0
199416,1993-07-21,44.816944,15.870833,3
199970,1993-07-25,43.643889,18.566111,5
200478,1993-07-30,43.85,18.383333,7
199533,1993-08-10,44.658056,18.081389,3
199952,1993-08-17,43.83,18.358611,5
199565,1993-09-08,44.154444,17.790278,0
200637,1993-09-08,43.85,18.383333,1
199500,1993-10-04,45.031389,15.914444,2
200484,1993-10-12,43.85,18.383333,3
200486,1993-10-17,43.85,18.383333,3
199647,1993-10-24,43.85,18.383333,10
199514,1993-10-29,45.189444,15.811667,15
199757,1993-10-29,44.549167,18.096667,1
200101,1993-10-29,43.85,18.383333,1
199505,1993-11-13,43.9625,17.898333,2
199715,1993-11-17,43.343333,17.808056,0
200209,1993-11-26,44.549167,18.096667,3
199441,1993-11-28,43.85,18.383333,5
199140,1993-11-30,43.85,18.383333,2
200498,1993-11-30,43.85,18.383333,2
199648,1993-12-03,43.85,18.383333,2
199805,1993-12-04,44.549167,18.096667,8
200758,1993-12-04,44.604167,18.980556,3
199470,1993-12-09,43.85,18.383333,4
200670,1993-12-09,43.85,18.383333,4
200255,1993-12-25,43.85,18.383333,3
199575,1993-12-25,44.775833,17.185556,3
200530,1994-01-03,43.85,18.383333,6
200543,1994-01-03,43.85,18.383333,8
200836,1994-01-03,43.988889,18.178056,2
199556,1994-01-11,43.85,18.383333,2
200526,1994-01-12,43.85,18.383333,6
199397,1994-01-13,43.85,18.383333,1
200834,1994-01-15,43.988889,18.178056,2
200665,1994-02-16,43.85,18.383333,1
199089,1994-02-17,44.171111,17.6575,0
200686,1994-02-17,43.85,18.383333,1
200181,1994-02-19,44.549167,18.096667,1
200793,1994-02-19,44.542778,18.669444,1
200217,1994-02-23,44.699444,17.9375,1
200257,1994-02-23,44.673889,18.051667,2
200700,1994-02-23,44.646667,18.061667,2
200763,1994-02-23,44.611667,17.987222,2
199696,1994-02-28,44.611667,17.987222,0
200768,1994-02-28,44.611667,17.987222,4
199697,1994-03-01,44.106389,19.296944,0
199355,1994-03-02,44.816944,15.870833,11
199574,1994-03-02,44.816944,15.870833,11
200864,1994-03-05,44.201389,17.906389,4
199616,1994-03-09,44.549167,18.096667,4
200195,1994-03-09,44.549167,18.096667,11
200194,1994-03-09,44.549167,18.096667,6
199081,1994-03-10,43.950833,18.270833,0
200131,1994-03-10,43.950833,18.270833,2
200158,1994-03-24,44.226389,18.691389,2
200060,1994-03-29,43.666944,18.976389,5
200061,1994-03-29,43.666944,18.976389,3
199620,1994-03-29,44.981389,16.713056,16
200766,1994-04-12,44.611667,17.987222,1
199944,1994-04-11,44.734722,18.087778,0
200044,1994-04-15,43.666944,18.976389,2
200783,1994-04-16,44.226667,17.670556,1
200874,1994-04-16,44.386944,19.101389,1
199532,1994-05-06,43.117222,17.810833,1
199453,1994-05-10,44.872778,18.808333,12
199525,1994-05-10,44.872778,18.808333,4
200807,1994-05-11,44.542778,18.669444,2
199904,1994-05-22,44.057222,17.450833,4
199447,1994-06-19,43.85,18.383333,1
200522,1994-06-19,43.85,18.383333,1
199418,1994-06-30,44.226667,17.670556,0
199465,1994-06-30,44.966944,15.943056,2
200785,1994-06-30,44.226667,17.670556,1
200333,1994-07-22,44.574722,18.518611,1
200805,1994-07-23,44.542778,18.669444,3
199115,1994-07-24,43.666944,18.976389,0
200155,1994-07-26,44.226389,18.691389,3
199953,1994-09-17,43.83,18.358611,1
199913,1994-09-24,45.054722,16.031944,3
199821,1994-09-27,43.579722,18.0175,1
199151,1994-09-28,44.611667,17.987222,6
199764,1994-09-28,44.611667,17.987222,6
200129,1994-10-03,43.950833,18.270833,2
199795,1994-10-17,44.816944,15.870833,6
200127,1994-10-29,43.833056,18.303889,1
200651,1994-10-29,43.85,18.383333,1
199593,1994-11-11,43.343333,17.808056,1
200223,1994-11-11,43.343333,17.808056,1
200343,1994-11-11,43.243333,17.980556,2
200872,1994-11-11,43.211944,17.989167,2
199520,1994-11-17,45.189444,15.811667,4
200535,1994-11-18,43.85,18.383333,1
200810,1994-11-18,44.542778,18.669444,2
199123,1994-11-25,43.343333,17.808056,0
199389,1994-12-09,44.816944,15.870833,1
200540,1994-12-12,43.85,18.383333,1
200749,1994-12-12,43.835556,18.318333,1
199800,1994-12-13,44.816944,15.870833,1
199426,1994-12-19,44.816944,15.870833,5
199579,1994-12-22,44.816944,15.870833,1
199804,1994-12-22,44.816944,15.870833,1
200542,1994-12-22,43.85,18.383333,2
199403,1995-01-15,43.85,18.383333,1
199432,1995-01-15,44.816944,15.870833,1
199439,1995-01-15,44.816944,15.870833,1
199580,1995-01-15,44.816944,15.870833,0
199122,1995-02-28,44.861389,18.339444,1
199586,1995-03-02,43.819167,18.326111,1
199148,1995-03-11,43.85,18.383333,1
199427,1995-03-11,43.85,18.383333,2
200244,1995-03-20,44.586389,18.795833,100
200618,1995-04-10,43.85,18.383333,1
199609,1995-04-13,44.3975,18.767778,0
200084,1995-04-13,44.3975,18.767778,1
199431,1995-04-13,44.816944,15.870833,3
200621,1995-04-13,43.85,18.383333,5
200769,1995-04-13,44.611667,17.987222,2
199528,1995-04-20,43.789167,18.342778,0
199590,1995-04-20,44.3975,18.767778,0
199891,1995-04-21,44.872778,18.808333,1
199443,1995-04-24,44.816944,15.870833,1
200664,1995-04-24,43.85,18.383333,2
199650,1995-04-28,43.988889,18.178056,1
200628,1995-05-01,43.85,18.383333,16
199893,1995-05-06,44.872778,18.808333,3
199358,1995-05-18,44.816944,15.870833,1
199663,1995-05-18,43.85,18.383333,3
200663,1995-05-18,43.85,18.383333,1
199570,1995-05-24,43.838333,18.388889,0
200627,1995-05-24,43.85,18.383333,0
200246,1995-05-27,43.349167,18.659722,60
200629,1995-05-27,43.85,18.383333,1
200661,1995-05-30,43.85,18.383333,2
200554,1995-06-07,43.85,18.383333,3
