numa,ida,numb,idb,kmdist,midist,capnamea
2,USA,404,GNB,6828.61,4258.16,"Washington, DC"
2,USA,411,EQG,9698.02,6046.87,"Washington, DC"
2,USA,420,GAM,6605.4,4118.78,"Washington, DC"
2,USA,432,MLI,7426.53,4630.85,"Washington, DC"
2,USA,433,SEN,6464,4030.91,"Washington, DC"
2,USA,434,BEN,8772.86,5470.16,"Washington, DC"
2,USA,435,MAA,6332.7,3948.09,"Washington, DC"
2,USA,436,NIR,8247.66,5142.92,"Washington, DC"
2,USA,437,CDI,8073.94,5033.84,"Washington, DC"
2,USA,438,GUI,7143.73,4454.1,"Washington, DC"
2,USA,439,BFO,7996.17,4986.37,"Washington, DC"
2,USA,450,LBR,7602.27,4739.93,"Washington, DC"
2,USA,451,SIE,7243.72,4516.72,"Washington, DC"
2,USA,452,GHA,8625.4,5378.25,"Washington, DC"
2,USA,461,TOG,8644.59,5390.37,"Washington, DC"
2,USA,471,CAO,9753.57,6081.21,"Washington, DC"
2,USA,475,NIG,8831.44,5506.52,"Washington, DC"
2,USA,481,GAB,9792.96,6106.46,"Washington, DC"
2,USA,482,CEN,10311.09,6429.66,"Washington, DC"
2,USA,483,CHA,9431.38,5881.23,"Washington, DC"
2,USA,484,CON,10588.84,6602.37,"Washington, DC"
2,USA,490,DRC,10588.84,6602.37,"Washington, DC"
2,USA,500,UGA,11790.74,7351.79,"Washington, DC"
2,USA,501,KEN,12237.16,7629.54,"Washington, DC"
2,USA,510,TAZ,12817.91,7992.13,"Washington, DC"
2,USA,511,ZAN,12812.86,7989.1,"Washington, DC"
2,USA,516,BUI,11739.23,7319.47,"Washington, DC"
2,USA,517,RWA,11672.57,7278.06,"Washington, DC"
2,USA,520,SOM,12707.82,7923.45,"Washington, DC"
2,USA,522,DJI,11770.54,7339.67,"Washington, DC"
2,USA,530,ETH,11628.13,7249.78,"Washington, DC"
2,USA,531,ERI,11151.41,6952.84,"Washington, DC"
2,USA,540,ANG,10683.78,6661.96,"Washington, DC"
2,USA,541,MZM,13537.03,8440.57,"Washington, DC"
2,USA,551,ZAM,12498.75,7793.16,"Washington, DC"
2,USA,552,ZIM,12848.21,8011.32,"Washington, DC"
2,USA,553,MAW,12816.9,7992.13,"Washington, DC"
2,USA,560,SAF,13118.89,8179.99,"Washington, DC"
2,USA,563,TRA,13118.89,8179.99,"Washington, DC"
2,USA,564,OFS,13178.48,8217.36,"Washington, DC"
2,USA,565,NAM,11976.58,7467.94,"Washington, DC"
2,USA,570,LES,13254.23,8264.83,"Washington, DC"
2,USA,571,BOT,12857.3,8016.37,"Washington, DC"
2,USA,572,SWA,13419.87,8367.85,"Washington, DC"
2,USA,580,MAG,14367.25,8958.7,"Washington, DC"
2,USA,581,COM,13516.83,8427.44,"Washington, DC"
2,USA,590,MAS,15357.05,9575.81,"Washington, DC"
2,USA,591,SEY,14051.12,8761.75,"Washington, DC"
2,USA,600,MOR,6248.87,3896.58,"Washington, DC"
2,USA,615,ALG,6892.24,4297.55,"Washington, DC"
2,USA,616,TUN,7450.77,4646,"Washington, DC"
2,USA,620,LIB,7952.74,4959.1,"Washington, DC"
2,USA,625,SUD,10682.77,6660.95,"Washington, DC"
2,USA,630,IRN,10335.33,6444.81,"Washington, DC"
2,USA,640,TUR,8869.82,5530.76,"Washington, DC"
2,USA,645,IRQ,10087.88,6290.28,"Washington, DC"
2,USA,651,EGY,9448.55,5891.33,"Washington, DC"
2,USA,652,SYR,9564.7,5964.05,"Washington, DC"
2,USA,660,LEB,9505.11,5926.68,"Washington, DC"
2,USA,663,JOR,9693.98,6044.85,"Washington, DC"
2,USA,666,ISR,9543.49,5950.92,"Washington, DC"
2,USA,670,SAU,11007.99,6863.96,"Washington, DC"
2,USA,678,YAR,11571.57,7215.44,"Washington, DC"
2,USA,679,YEM,11571.57,7215.44,"Washington, DC"
2,USA,680,YPR,11875.58,7404.31,"Washington, DC"
2,USA,690,KUW,10659.54,6646.81,"Washington, DC"
2,USA,692,BAH,11127.17,6938.7,"Washington, DC"
2,USA,694,QAT,11169.59,6963.95,"Washington, DC"
2,USA,696,UAE,11501.88,7172.01,"Washington, DC"
2,USA,698,OMA,11832.15,7378.05,"Washington, DC"
2,USA,700,AFG,11295.84,7043.74,"Washington, DC"
2,USA,701,TKM,10511.07,6553.89,"Washington, DC"
2,USA,702,TAJ,10881.74,6785.18,"Washington, DC"
2,USA,703,KYR,10671.66,6653.88,"Washington, DC"
2,USA,704,UZB,10598.94,6609.44,"Washington, DC"
2,USA,705,KZK,10645.4,6637.72,"Washington, DC"
